Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01491.01","Oil palm fruit","2006","2006","kg/ha","2699.2","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01491.01","Oil palm fruit","2007","2007","kg/ha","2698.4","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01491.01","Oil palm fruit","2008","2008","kg/ha","2656.3","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01491.01","Oil palm fruit","2009","2009","kg/ha","2656.3","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01491.01","Oil palm fruit","2010","2010","kg/ha","2500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01491.01","Oil palm fruit","2011","2011","kg/ha","2500","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01491.01","Oil palm fruit","2012","2012","kg/ha","2492.3","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01491.01","Oil palm fruit","2013","2013","kg/ha","2666.7","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01491.01","Oil palm fruit","2014","2014","kg/ha","2633","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01491.01","Oil palm fruit","2015","2015","kg/ha","2569.8","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01491.01","Oil palm fruit","2016","2016","kg/ha","2566.2","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01491.01","Oil palm fruit","2017","2017","kg/ha","2566.8","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01491.01","Oil palm fruit","2018","2018","kg/ha","2570.1","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01491.01","Oil palm fruit","2019","2019","kg/ha","2569.8","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01491.01","Oil palm fruit","2020","2020","kg/ha","2569.4","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01491.01","Oil palm fruit","2021","2021","kg/ha","2569.1","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01491.01","Oil palm fruit","2022","2022","kg/ha","2567.5","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01491.01","Oil palm fruit","2023","2023","kg/ha","2565.8","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","1990","1990","kg/ha","1000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","1991","1991","kg/ha","969.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","1992","1992","kg/ha","1079.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","1993","1993","kg/ha","1079.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","1994","1994","kg/ha","1080","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","1995","1995","kg/ha","1148","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","1996","1996","kg/ha","1144.2","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","1997","1997","kg/ha","1107.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","1998","1998","kg/ha","1132.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","1999","1999","kg/ha","1126.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2000","2000","kg/ha","1120","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2001","2001","kg/ha","1100","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2002","2002","kg/ha","1100","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2003","2003","kg/ha","1155.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2004","2004","kg/ha","1220","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2005","2005","kg/ha","1260","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2006","2006","kg/ha","1350","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2007","2007","kg/ha","1159.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2008","2008","kg/ha","1223.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2009","2009","kg/ha","1114.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2010","2010","kg/ha","1439.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2011","2011","kg/ha","1220.6","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2012","2012","kg/ha","1144.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2013","2013","kg/ha","972.7","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2014","2014","kg/ha","1207.1","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2015","2015","kg/ha","1187.5","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2016","2016","kg/ha","1380.9","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2017","2017","kg/ha","1192.3","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2018","2018","kg/ha","1208.1","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2019","2019","kg/ha","1234.9","X","Figure from external organization",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2020","2020","kg/ha","1136.4","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2021","2021","kg/ha","1134","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2022","2022","kg/ha","1194.1","X","Figure from external organization",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","0114","Sorghum","2023","2023","kg/ha","1123.2","X","Figure from external organization",""
